2016-12-17 12:00:00 0.096 0.029
2016-12-22 12:00:00 0.176 0.053
2016-12-27 12:00:00 0.12 0.036
2017-01-01 12:00:00 0.083 0.025
2017-01-06 12:00:00 0.1 0.03
2017-01-11 12:00:00 0.23 0.069
2017-01-16 12:00:00 0.328 0.098
2017-01-21 12:00:00 0.235 0.071
2017-01-26 12:00:00 0.183 0.055
2017-01-31 12:00:00 0.177 0.053
2017-02-05 12:00:00 0.289 0.087
2017-02-10 12:00:00 0.269 0.081
2017-02-15 12:00:00 0.285 0.085
2017-02-20 12:00:00 0.293 0.088
2017-02-25 12:00:00 0.202 0.061
2017-03-02 12:00:00 0.197 0.059
2017-03-07 12:00:00 0.305 0.091
2017-03-12 12:00:00 0.238 0.071
2017-03-17 12:00:00 0.205 0.062
2017-03-22 12:00:00 0.231 0.069
2017-03-27 12:00:00 0.205 0.061
2017-04-01 12:00:00 0.316 0.095
2017-04-06 12:00:00 0.437 0.131
2017-04-11 12:00:00 0.258 0.077
2017-04-16 12:00:00 0.356 0.107
2017-04-21 12:00:00 0.392 0.118
2017-04-26 12:00:00 0.371 0.111
2017-05-01 12:00:00 0.33 0.099
2017-05-06 12:00:00 0.647 0.194
2017-05-11 12:00:00 2.721 0.816
2017-05-16 12:00:00 3.243 0.973
2017-05-21 12:00:00 1.679 0.504
2017-05-26 12:00:00 1.449 0.435
2017-05-31 12:00:00 0.48 0.144
2017-06-05 12:00:00 0.138 0.041
2017-06-10 12:00:00 0.172 0.051
2017-06-15 12:00:00 1.494 0.448
2017-06-20 12:00:00 1.186 0.356
2017-06-25 12:00:00 0.664 0.199
2017-06-30 12:00:00 1.963 0.589
2017-07-05 12:00:00 0.559 0.168
2017-07-10 12:00:00 0.971 0.291
2017-07-15 12:00:00 0.691 0.207
2017-07-20 12:00:00 0.17 0.051
2017-07-25 12:00:00 0.258 0.077
2017-07-30 12:00:00 0.909 0.273
2017-08-04 12:00:00 0.82 0.246
2017-08-09 12:00:00 0.705 0.212
2017-08-14 12:00:00 0.48 0.144
2017-08-19 12:00:00 0.182 0.055
2017-08-24 12:00:00 0.312 0.094
2017-08-29 12:00:00 0.355 0.107
2017-09-03 12:00:00 0.376 0.113
2017-09-08 12:00:00 0.359 0.108
2017-09-13 12:00:00 0.626 0.188
2017-09-18 12:00:00 0.353 0.106
2017-09-23 12:00:00 0.295 0.089
2017-09-28 12:00:00 0.347 0.104
2017-10-03 12:00:00 0.21 0.063
2017-10-08 12:00:00 0.331 0.099
2017-10-13 12:00:00 0.218 0.065
2017-10-18 12:00:00 0.188 0.056
2017-10-23 12:00:00 0.158 0.047
2017-10-28 12:00:00 0.246 0.074
2017-11-02 12:00:00 0.208 0.062
2017-11-07 12:00:00 0.16 0.048
2017-11-12 12:00:00 0.147 0.044
2017-11-17 12:00:00 0.198 0.059
2017-11-22 12:00:00 0.22 0.066
2017-11-27 12:00:00 0.236 0.071
2017-12-02 12:00:00 0.434 0.13
2017-12-07 12:00:00 0.41 0.123
2017-12-12 12:00:00 0.229 0.069
2017-12-17 12:00:00 0.166 0.05
2017-12-22 12:00:00 0.144 0.043
2017-12-27 12:00:00 0.117 0.035
